class,feature,class_mean_standardized,rest_mean_standardized,class_sd_standardized,rest_sd_standardized,cohens_d_class_vs_rest,abs_cohens_d,direction,centroid_distance_19D
squarefree,H_pos_base4,-0.026037957301627945,0.04037269704162009,1.016923982779775,0.9718011091062365,-0.0664455216314798,0.0664455216314798,lower_in_class,2.0770349453963837
squarefree,H_pos_base5,0.009893907549414412,-0.015340824451898855,0.9961204373938806,1.0057959174298197,0.02523662205531357,0.02523662205531357,higher_in_class,2.0770349453963837
squarefree,H_pos_base6,-0.004396645973790098,0.006817142137640836,1.0064946779070854,0.989809484943043,-0.01121394495421847,0.01121394495421847,lower_in_class,2.0770349453963837
squarefree,H_pos_base7,0.009355957389736875,-0.014506715287012176,0.9960713203006626,1.0058916944628706,0.023864268348504306,0.023864268348504306,higher_in_class,2.0770349453963837
squarefree,H_pos_base8,-0.02118674174662453,0.03285073002950448,1.006063120260795,0.9896316386333361,-0.054056232580117894,0.054056232580117894,lower_in_class,2.0770349453963837
squarefree,H_pos_base9,-0.009353038442187423,0.014502189364197076,1.0032822855427574,0.9947179766711808,-0.02385682197012822,0.02385682197012822,lower_in_class,2.0770349453963837
squarefree,H_pos_base10,-0.0017060879945664,0.00264534475316502,1.0011844474511689,0.9981574840974682,-0.004351438215743308,0.004351438215743308,lower_in_class,2.0770349453963837
squarefree,H_pos_base11,0.005903542141734071,-0.009153633505102964,0.9970141673881739,1.0045460260649122,0.015057567442048505,0.015057567442048505,higher_in_class,2.0770349453963837
squarefree,H_pos_base12,-0.01883496551337552,0.029204224726698383,1.0067989392196484,0.9886589428962463,-0.048052359872864076,0.048052359872864076,lower_in_class,2.0770349453963837
squarefree,H_pos_base13,0.004767036491677781,-0.007391444645034454,0.9971994725337526,1.0042846690490284,0.012158683187453834,0.012158683187453834,higher_in_class,2.0770349453963837
squarefree,H_pos_base14,-0.011877483851757974,0.018416423823452526,1.000519908806971,0.998916664546858,-0.0302971911780763,0.0302971911780763,lower_in_class,2.0770349453963837
squarefree,H_pos_base15,-0.003488645832946622,0.005409258478590795,0.9999083624023122,1.0001205583630683,-0.00889797937085149,0.00889797937085149,lower_in_class,2.0770349453963837
squarefree,H_pos_base16,-0.004123527670907267,0.0063936633535322165,1.0020628362049953,0.9967618897797736,-0.01051731914981265,0.01051731914981265,lower_in_class,2.0770349453963837
squarefree,H_dynamical_collatz,0.08438556880557985,-0.1308425605206465,0.8821066454248125,1.1471219081147763,0.21642603460901824,0.21642603460901824,higher_in_class,2.0770349453963837
semiprime,H_algebraic,-0.6228125691084196,0.1655927008825538,0.050571851211181816,1.0651977098801466,-0.8325016715784523,0.8325016715784523,lower_in_class,1.8396428719904199
semiprime,H_geometric,-0.8993280314275401,0.23911231900259294,0.005018491872245466,0.9968241156131762,-1.284949904634293,1.284949904634293,lower_in_class,1.8396428719904199
semiprime,H_arithmetic,-0.9466489768202535,0.2516939583987162,0.37486216717559123,0.962757916951322,-1.3730266480085396,1.3730266480085396,lower_in_class,1.8396428719904199
semiprime,H_pos_base2,-0.04081368078915198,0.01085149524922211,1.0580511325967241,0.983705679856307,-0.05167656914448857,0.05167656914448857,lower_in_class,1.8396428719904199
semiprime,H_pos_base3,-0.018041901427644905,0.0047969603290732256,1.01657789344013,0.9954920953571164,-0.0228398272903361,0.0228398272903361,lower_in_class,1.8396428719904199
semiprime,H_pos_base4,-0.030180703542163557,0.008024411294778058,1.0211414463107114,0.9941504073731289,-0.03820970377044581,0.03820970377044581,lower_in_class,1.8396428719904199
semiprime,H_pos_base5,-0.008743913428127506,0.0023248218046068884,1.0041991126553227,0.9988689643548802,-0.011068836668445948,0.011068836668445948,lower_in_class,1.8396428719904199
semiprime,H_pos_base6,-0.024940983810439004,0.0066312805435997145,1.0138864599855568,0.9961715163531303,-0.03157484398188359,0.03157484398188359,lower_in_class,1.8396428719904199
semiprime,H_pos_base7,-0.004688619270800769,0.0012466047844437915,1.002101295575401,0.9994381334687075,-0.005935235465338864,0.005935235465338864,lower_in_class,1.8396428719904199
semiprime,H_pos_base8,-0.030723707613649103,0.00816878460265206,1.0110249816744228,0.9968901196423209,-0.03889733476618664,0.03889733476618664,lower_in_class,1.8396428719904199
