class,feature,class_mean_standardized,rest_mean_standardized,class_sd_standardized,rest_sd_standardized,cohens_d_class_vs_rest,abs_cohens_d,direction,centroid_distance_19D
prime,H_arithmetic,-1.466480436214468,0.12492190063826585,0.007098432645207113,0.9414778301177372,-1.760842461964193,1.760842461964193,lower_in_class,3.7244132989862337
prime,H_dynamical_collatz,0.11283198771775875,-0.009611574768008068,0.8588725513110023,1.010530676713298,0.12250988862638931,0.12250988862638931,higher_in_class,3.7244132989862337
prime,H_pos_base2,-0.07664166812016923,0.006528708200415462,1.1170425718474761,0.9891167631933957,-0.08319110896721839,0.08319110896721839,lower_in_class,3.7244132989862337
prime_power,H_algebraic,-2.4102269755739876,0.20598481947107783,8.881840601278969e-16,0.7392993368522701,-3.686887299644721,3.686887299644721,lower_in_class,3.7216612726862697
prime_power,H_geometric,-1.938549474894002,0.16567392518154833,0.1238691930274435,0.8576347648512961,-2.553935768514872,2.553935768514872,lower_in_class,3.7216612726862697
prime_power,H_arithmetic,-1.4654310321134363,0.12523988390152163,0.03976994904596193,0.9413358492172023,-1.7603940820028054,1.7603940820028054,lower_in_class,3.7216612726862697
prime_power,H_dynamical_collatz,0.1078501971278048,-0.00921718311612599,0.9150200540791369,1.006395077754525,0.11712549341476876,0.11712549341476876,higher_in_class,3.7216612726862697
prime_power,H_pos_base2,-0.07839136529610362,0.006699547964676467,1.1257238499896682,0.9882267278930417,-0.08511318126099574,0.08511318126099574,lower_in_class,3.7216612726862697
semiprime,H_arithmetic,-0.9466489768202535,0.2516939583987162,0.37486216717559123,0.962757916951322,-1.3730266480085396,1.3730266480085396,lower_in_class,1.8396428719904199
semiprime,H_geometric,-0.8993280314275401,0.23911231900259294,0.005018491872245466,0.9968241156131762,-1.284949904634293,1.284949904634293,lower_in_class,1.8396428719904199
semiprime,H_algebraic,-0.6228125691084196,0.1655927008825538,0.050571851211181816,1.0651977098801466,-0.8325016715784523,0.8325016715784523,lower_in_class,1.8396428719904199
semiprime,H_dynamical_collatz,0.09603937298335798,-0.02553483977715461,0.8740649803515067,1.0293921075821255,0.1217234370400192,0.1217234370400192,higher_in_class,1.8396428719904199
semiprime,H_pos_base14,-0.04297957576454732,0.011427360953595285,1.0071597591309123,0.9977774951337754,-0.05442024801786069,0.05442024801786069,lower_in_class,1.8396428719904199
squarefree,H_geometric,-0.595721050328665,0.9236848039815179,0.6717141180439661,0.6689414101365887,-2.265645042854418,2.265645042854418,lower_in_class,2.0770349453963837
squarefree,H_arithmetic,-0.5269821869449997,0.8171029675407484,0.7373325944683716,0.7805882005613897,-1.7812182090508597,1.7812182090508597,lower_in_class,2.0770349453963837
squarefree,H_algebraic,-0.14524196449293883,0.22520237521996953,1.11095026661934,0.7439278512994224,-0.37665515747950296,0.37665515747950296,lower_in_class,2.0770349453963837
squarefree,H_dynamical_collatz,0.08438556880557985,-0.1308425605206465,0.8821066454248125,1.1471219081147763,0.21642603460901824,0.21642603460901824,higher_in_class,2.0770349453963837
squarefree,H_pos_base4,-0.026037957301627945,0.04037269704162009,1.016923982779775,0.9718011091062365,-0.0664455216314798,0.0664455216314798,lower_in_class,2.0770349453963837
