n,mean_distance_to_k_neighbors,proximity_score
4239,3.3399664190701452,0.29940420786568955
4252,3.1489141997793717,0.317569783282678
4266,3.1547655473217526,0.3169807660821692
4269,2.2591079334148914,0.44265259981976457
4285,2.280508702304798,0.43849865558018286
4292,4.3759024396810755,0.2285242904256004
4310,2.455399855577204,0.4072656425910383
4320,3.6482675863985476,0.2741027011636758
4334,4.432521439389882,0.22560522575552847
4336,4.259443803871232,0.23477243650706384
4346,4.093866582732888,0.2442678528454142
4359,3.7564776847254935,0.2662068256297413
4362,3.396775016826369,0.2943968897104091
4371,4.300005603928739,0.23255783645633124
4376,4.919149844532008,0.2032871596931265
4379,3.5927872060675683,0.2783354378213389
4389,3.334457385202093,0.299898869434522
4403,4.163519435418727,0.24018141755094014
4420,4.221415841042588,0.23688734719695068
4421,3.82396602571229,0.2615085995209564
4424,4.420537011035855,0.22621685951351098
4495,3.5077586723143126,0.2850823256150473
4515,4.169320441015866,0.2398472398912345
4517,3.8966279432887445,0.2566321482455278
4525,4.066643015290566,0.24590306949485286
4528,3.1748009219969204,0.31498037973691095
4541,2.9169383274414953,0.34282521182982195
4543,3.061237563236534,0.32666527159114367
4545,4.0902440559162905,0.2444841887987872
4549,5.008343998031014,0.19966679612920785
4567,2.7291765383612576,0.36641088839203
4594,3.1996255459745866,0.3125365720553695
4599,2.8142529060134365,0.35533409163862484
4607,3.8520415531495464,0.2596025993494566
4618,2.8237241882526734,0.35414223675239614
4642,3.8777602469682235,0.2578808219981055
4644,4.533032877021282,0.22060285621773235
4647,4.3701947498938125,0.22882275441479336
4653,3.445867779888436,0.29020266123852434
4654,2.965428263399107,0.33721942032528474
4667,4.050276289441473,0.24689673704646248
4668,3.2560683157824677,0.3071188633090403
4677,4.502099647844608,0.2221185842651285
4681,5.297112415898808,0.18878209890324413
4683,3.188484196566867,0.3136286518454177
4707,3.7276317776941914,0.2682668406208039
4715,2.643455646313128,0.37829270992094705
4723,2.718589833547422,0.3678377619380546
4730,2.7984538542306234,0.3573401785732042
4735,3.5201060691601205,0.28408234875669836
4739,3.194278081462101,0.3130597820531524
4744,3.969469761004389,0.25192281594474714
4771,2.5309003199103683,0.39511631182496343
4779,3.4961852581933526,0.28602603299015744
4815,2.627793706013161,0.3805473761929359
4824,3.17955881476827,0.314509043001479
4825,3.989263181391261,0.250672857249543
4826,3.0073995282013133,0.33251318643311567
4836,2.860885479137857,0.34954212857936756
4843,3.062494533680884,0.3265311950770243
4844,3.728485788957598,0.2682053939863104
4846,3.1759927230437652,0.3148621823797249
4849,4.565454981112023,0.2190362196400867
4857,3.0055601562571463,0.33271668108781993
4858,3.152419003010548,0.31721671486077413
4863,3.6499035538070066,0.2739798422773892
4887,3.7615983240302433,0.2658444400114248
4888,4.2157824636576064,0.23720389005370174
4899,3.0173254733472956,0.33141933438500093
4906,3.3386648590050676,0.2995209289433452
4908,2.446630040314447,0.408725464627692
4912,3.452391827026017,0.2896542600325691
4919,3.9871512579385473,0.2508056342253675
4927,3.3428141140844687,0.2991491497497106
4929,4.397916824443508,0.22738038028409235
4935,3.1941163368706476,0.3130756348653884
4951,3.1495410034520748,0.31750658235712
4955,2.616463916604834,0.3821952191479996
4968,2.9061681560620936,0.3440957117067419
4976,2.490359690487531,0.40154842042268646
5003,3.460942188759572,0.28893866047445266
5013,2.761742947061574,0.3620901797046728
5021,3.1994589811759138,0.31255284280348933
5041,4.202332243847982,0.23796309810194452
5053,2.5268007057656723,0.39575736927641225
5056,3.9102543261964557,0.2557378412192576
5057,4.024933020290824,0.24845133942812692
5090,2.790706793145072,0.35833216246722255
5098,3.2728321480356377,0.3055457642702199
5110,3.9820841944320216,0.2511247756634594
5126,3.6862427574955214,0.2712789324485892
5127,2.2426469460230978,0.4459016617719795
5134,2.2467232736694234,0.4450926430144294
5138,2.9135146245171053,0.3432280694885476
5155,4.0881429910125275,0.24460983928355234
5164,2.489552937308132,0.4016785443738601
5175,3.046218365142118,0.32827587524344065
5176,3.003489118745511,0.3329461038358429
5177,2.5568067963172147,0.391112852734901
5209,4.4852291485101645,0.2229540491441651
5211,3.0308475652449327,0.32994071079878173
5219,2.217320579042144,0.4509947769625342
5220,3.7669664878935327,0.2654655949856695
5245,2.9612517241128344,0.33769503344037854
5250,3.7153090172813834,0.2691566153308735
5264,3.196459919664343,0.31284609384518614
5270,3.516540357632175,0.2843704033793757
